Iteration: 0
Iteration: 0
  Test iriw-TB_03_1_2-SCOPE_DEVICE-FENCE_SCOPE_BLOCK-THREAD_3_FENCE weak: 0, total: 19008000, rate: 0 per second
  Test iriw-TB_03_1_2-SCOPE_DEVICE-FENCE_SCOPE_BLOCK-BOTH_FENCE weak: 0, total: 19008000, rate: 0 per second
  Test iriw-TB_03_1_2-SCOPE_DEVICE-FENCE_SCOPE_DEVICE-THREAD_1_FENCE weak: 0, total: 19008000, rate: 0 per second
  Test iriw-TB_03_1_2-SCOPE_DEVICE-FENCE_SCOPE_DEVICE-THREAD_3_FENCE weak: 0, total: 19008000, rate: 0 per second
  Test iriw-TB_03_1_2-SCOPE_DEVICE-FENCE_SCOPE_DEVICE-BOTH_FENCE weak: 0, total: 19008000, rate: 0 per second
  Test iriw-TB_03_1_2-SCOPE_BLOCK-NO_FENCE-RELAXED weak: 1067, total: 19008000, rate: 3387 per second
  Test iriw-TB_03_1_2-SCOPE_BLOCK-NO_FENCE-ACQUIRE weak: 0, total: 19008000, rate: 0 per second
  Test iriw-TB_03_1_2-SCOPE_BLOCK-FENCE_SCOPE_BLOCK-THREAD_1_FENCE weak: 0, total: 19008000, rate: 0 per second
  Test iriw-TB_03_1_2-SCOPE_BLOCK-FENCE_SCOPE_BLOCK-THREAD_3_FENCE weak: 0, total: 19008000, rate: 0 per second
  Test iriw-TB_03_1_2-SCOPE_BLOCK-FENCE_SCOPE_BLOCK-BOTH_FENCE weak: 0, total: 19008000, rate: 0 per second
  Test iriw-TB_03_1_2-SCOPE_BLOCK-FENCE_SCOPE_DEVICE-THREAD_1_FENCE weak: 0, total: 19008000, rate: 0 per second
  Test iriw-TB_03_1_2-SCOPE_BLOCK-FENCE_SCOPE_DEVICE-THREAD_3_FENCE weak: 0, total: 19008000, rate: 0 per second
  Test iriw-TB_03_1_2-SCOPE_BLOCK-FENCE_SCOPE_DEVICE-BOTH_FENCE weak: 0, total: 19008000, rate: 0 per second
  Test iriw-TB_03_12-SCOPE_DEVICE-NO_FENCE-RELAXED weak: 1578, total: 19008000, rate: 5120 per second
  Test iriw-TB_03_12-SCOPE_DEVICE-NO_FENCE-ACQUIRE weak: 0, total: 19008000, rate: 0 per second
  Test iriw-TB_03_12-SCOPE_DEVICE-FENCE_SCOPE_BLOCK-THREAD_1_FENCE weak: 0, total: 19008000, rate: 0 per second
  Test iriw-TB_03_12-SCOPE_DEVICE-FENCE_SCOPE_BLOCK-THREAD_3_FENCE weak: 0, total: 19008000, rate: 0 per second
  Test iriw-TB_03_12-SCOPE_DEVICE-FENCE_SCOPE_BLOCK-BOTH_FENCE weak: 0, total: 19008000, rate: 0 per second
  Test iriw-TB_03_12-SCOPE_DEVICE-FENCE_SCOPE_DEVICE-THREAD_1_FENCE weak: 0, total: 19008000, rate: 0 per second
  Test iriw-TB_03_12-SCOPE_DEVICE-FENCE_SCOPE_DEVICE-THREAD_3_FENCE weak: 0, total: 19008000, rate: 0 per second
  Test iriw-TB_03_12-SCOPE_DEVICE-FENCE_SCOPE_DEVICE-BOTH_FENCE weak: 0, total: 19008000, rate: 0 per second
  Test iriw-TB_03_12-SCOPE_BLOCK-NO_FENCE-RELAXED weak: 1443, total: 19008000, rate: 4700 per second
  Test iriw-TB_03_12-SCOPE_BLOCK-NO_FENCE-ACQUIRE weak: 0, total: 19008000, rate: 0 per second
  Test iriw-TB_03_12-SCOPE_BLOCK-FENCE_SCOPE_BLOCK-THREAD_1_FENCE weak: 0, total: 19008000, rate: 0 per second
  Test iriw-TB_03_12-SCOPE_BLOCK-FENCE_SCOPE_BLOCK-THREAD_3_FENCE weak: 0, total: 19008000, rate: 0 per second
  Test iriw-TB_03_12-SCOPE_BLOCK-FENCE_SCOPE_BLOCK-BOTH_FENCE weak: 0, total: 19008000, rate: 0 per second
  Test iriw-TB_03_12-SCOPE_BLOCK-FENCE_SCOPE_DEVICE-THREAD_1_FENCE weak: 0, total: 19008000, rate: 0 per second
  Test iriw-TB_03_12-SCOPE_BLOCK-FENCE_SCOPE_DEVICE-THREAD_3_FENCE weak: 0, total: 19008000, rate: 0 per second
  Test iriw-TB_03_12-SCOPE_BLOCK-FENCE_SCOPE_DEVICE-BOTH_FENCE weak: 0, total: 19008000, rate: 0 per second
  Test iriw-TB_0_12_3-SCOPE_DEVICE-NO_FENCE-RELAXED weak: 9938, total: 19008000, rate: 31851 per second
  Test iriw-TB_0_12_3-SCOPE_DEVICE-NO_FENCE-ACQUIRE weak: 0, total: 19008000, rate: 0 per second
  Test iriw-TB_0_12_3-SCOPE_DEVICE-FENCE_SCOPE_BLOCK-THREAD_1_FENCE weak: 0, total: 19008000, rate: 0 per second
  Test iriw-TB_0_12_3-SCOPE_DEVICE-FENCE_SCOPE_BLOCK-THREAD_3_FENCE weak: 0, total: 19008000, rate: 0 per second
  Test iriw-TB_0_12_3-SCOPE_DEVICE-FENCE_SCOPE_BLOCK-BOTH_FENCE weak: 0, total: 19008000, rate: 0 per second
  Test iriw-TB_0_12_3-SCOPE_DEVICE-FENCE_SCOPE_DEVICE-THREAD_1_FENCE weak: 0, total: 19008000, rate: 0 per second
  Test iriw-TB_0_12_3-SCOPE_DEVICE-FENCE_SCOPE_DEVICE-THREAD_3_FENCE weak: 0, total: 19008000, rate: 0 per second
  Test iriw-TB_0_12_3-SCOPE_DEVICE-FENCE_SCOPE_DEVICE-BOTH_FENCE weak: 0, total: 19008000, rate: 0 per second
  Test iriw-TB_0_12_3-SCOPE_BLOCK-NO_FENCE-RELAXED weak: 12153, total: 19008000, rate: 39096 per second
  Test iriw-TB_0_12_3-SCOPE_BLOCK-NO_FENCE-ACQUIRE weak: 16, total: 19008000, rate: 52 per second
  Test iriw-TB_0_12_3-SCOPE_BLOCK-FENCE_SCOPE_BLOCK-THREAD_1_FENCE weak: 21, total: 19008000, rate: 68 per second
  Test iriw-TB_0_12_3-SCOPE_BLOCK-FENCE_SCOPE_BLOCK-THREAD_3_FENCE weak: 4, total: 19008000, rate: 13 per second
  Test iriw-TB_0_12_3-SCOPE_BLOCK-FENCE_SCOPE_BLOCK-BOTH_FENCE weak: 3, total: 19008000, rate: 10 per second
  Test iriw-TB_0_12_3-SCOPE_BLOCK-FENCE_SCOPE_DEVICE-THREAD_1_FENCE weak: 0, total: 19008000, rate: 0 per second
  Test iriw-TB_0_12_3-SCOPE_BLOCK-FENCE_SCOPE_DEVICE-THREAD_3_FENCE weak: 0, total: 19008000, rate: 0 per second
  Test iriw-TB_0_12_3-SCOPE_BLOCK-FENCE_SCOPE_DEVICE-BOTH_FENCE weak: 0, total: 19008000, rate: 0 per second
  Test iriw-TB_0_123-SCOPE_DEVICE-NO_FENCE-RELAXED weak: 0, total: 0, rate: 0 per second
  Test iriw-TB_0_123-SCOPE_DEVICE-NO_FENCE-ACQUIRE weak: 0, total: 0, rate: 0 per second
  Test iriw-TB_0_123-SCOPE_DEVICE-FENCE_SCOPE_BLOCK-THREAD_1_FENCE weak: 0, total: 0, rate: 0 per second
  Test iriw-TB_0_123-SCOPE_DEVICE-FENCE_SCOPE_BLOCK-THREAD_3_FENCE weak: 0, total: 0, rate: 0 per second
  Test iriw-TB_0_123-SCOPE_DEVICE-FENCE_SCOPE_BLOCK-BOTH_FENCE weak: 0, total: 0, rate: 0 per second
  Test iriw-TB_0_123-SCOPE_DEVICE-FENCE_SCOPE_DEVICE-THREAD_1_FENCE weak: 0, total: 0, rate: 0 per second
  Test iriw-TB_0_123-SCOPE_DEVICE-FENCE_SCOPE_DEVICE-THREAD_3_FENCE weak: 0, total: 0, rate: 0 per second
  Test iriw-TB_0_123-SCOPE_DEVICE-FENCE_SCOPE_DEVICE-BOTH_FENCE weak: 0, total: 0, rate: 0 per second
  Test iriw-TB_0_123-SCOPE_BLOCK-NO_FENCE-RELAXED weak: 0, total: 0, rate: 0 per second
  Test iriw-TB_0_123-SCOPE_BLOCK-NO_FENCE-ACQUIRE weak: 0, total: 0, rate: 0 per second
