Iteration: 0
  Test iriw-TB_03_1_2-SCOPE_DEVICE-NO_FENCE-RELAXED weak: 716, total: 156170000, rate: 1156 per second
  Test iriw-TB_03_1_2-SCOPE_DEVICE-NO_FENCE-ACQUIRE weak: 0, total: 156170000, rate: 0 per second
  Test iriw-TB_03_1_2-SCOPE_DEVICE-FENCE_SCOPE_BLOCK-THREAD_1_FENCE weak: 6, total: 156170000, rate: 9 per second
  Test iriw-TB_03_1_2-SCOPE_DEVICE-FENCE_SCOPE_BLOCK-THREAD_3_FENCE weak: 1, total: 156170000, rate: 2 per second
  Test iriw-TB_03_1_2-SCOPE_DEVICE-FENCE_SCOPE_BLOCK-BOTH_FENCE weak: 213, total: 156170000, rate: 330 per second
  Test iriw-TB_03_1_2-SCOPE_DEVICE-FENCE_SCOPE_DEVICE-THREAD_1_FENCE weak: 0, total: 156170000, rate: 0 per second
  Test iriw-TB_03_1_2-SCOPE_DEVICE-FENCE_SCOPE_DEVICE-THREAD_3_FENCE weak: 0, total: 156170000, rate: 0 per second
  Test iriw-TB_03_1_2-SCOPE_DEVICE-FENCE_SCOPE_DEVICE-BOTH_FENCE weak: 0, total: 156170000, rate: 0 per second
  Test iriw-TB_03_1_2-SCOPE_BLOCK-NO_FENCE-RELAXED weak: 1080, total: 156170000, rate: 1748 per second
  Test iriw-TB_03_1_2-SCOPE_BLOCK-NO_FENCE-ACQUIRE weak: 1, total: 156170000, rate: 2 per second
  Test iriw-TB_03_1_2-SCOPE_BLOCK-FENCE_SCOPE_BLOCK-THREAD_1_FENCE weak: 19, total: 156170000, rate: 30 per second
  Test iriw-TB_03_1_2-SCOPE_BLOCK-FENCE_SCOPE_BLOCK-THREAD_3_FENCE weak: 21, total: 156170000, rate: 33 per second
  Test iriw-TB_03_1_2-SCOPE_BLOCK-FENCE_SCOPE_BLOCK-BOTH_FENCE weak: 487, total: 156170000, rate: 787 per second
  Test iriw-TB_03_1_2-SCOPE_BLOCK-FENCE_SCOPE_DEVICE-THREAD_1_FENCE weak: 0, total: 156170000, rate: 0 per second
  Test iriw-TB_03_1_2-SCOPE_BLOCK-FENCE_SCOPE_DEVICE-THREAD_3_FENCE weak: 0, total: 156170000, rate: 0 per second
  Test iriw-TB_03_1_2-SCOPE_BLOCK-FENCE_SCOPE_DEVICE-BOTH_FENCE weak: 0, total: 156170000, rate: 0 per second
  Test iriw-TB_03_12-SCOPE_DEVICE-NO_FENCE-RELAXED weak: 2221, total: 156170000, rate: 3581 per second
  Test iriw-TB_03_12-SCOPE_DEVICE-NO_FENCE-ACQUIRE weak: 0, total: 156170000, rate: 0 per second
  Test iriw-TB_03_12-SCOPE_DEVICE-FENCE_SCOPE_BLOCK-THREAD_1_FENCE weak: 6, total: 156170000, rate: 9 per second
  Test iriw-TB_03_12-SCOPE_DEVICE-FENCE_SCOPE_BLOCK-THREAD_3_FENCE weak: 13, total: 156170000, rate: 20 per second
  Test iriw-TB_03_12-SCOPE_DEVICE-FENCE_SCOPE_BLOCK-BOTH_FENCE weak: 729, total: 156170000, rate: 887 per second
  Test iriw-TB_03_12-SCOPE_DEVICE-FENCE_SCOPE_DEVICE-THREAD_1_FENCE weak: 0, total: 156170000, rate: 0 per second
  Test iriw-TB_03_12-SCOPE_DEVICE-FENCE_SCOPE_DEVICE-THREAD_3_FENCE weak: 0, total: 156170000, rate: 0 per second
  Test iriw-TB_03_12-SCOPE_DEVICE-FENCE_SCOPE_DEVICE-BOTH_FENCE weak: 0, total: 156170000, rate: 0 per second
  Test iriw-TB_03_12-SCOPE_BLOCK-NO_FENCE-RELAXED weak: 2322, total: 156170000, rate: 3723 per second
  Test iriw-TB_03_12-SCOPE_BLOCK-NO_FENCE-ACQUIRE weak: 0, total: 156170000, rate: 0 per second
  Test iriw-TB_03_12-SCOPE_BLOCK-FENCE_SCOPE_BLOCK-THREAD_1_FENCE weak: 0, total: 156170000, rate: 0 per second
  Test iriw-TB_03_12-SCOPE_BLOCK-FENCE_SCOPE_BLOCK-THREAD_3_FENCE weak: 5, total: 156170000, rate: 8 per second
  Test iriw-TB_03_12-SCOPE_BLOCK-FENCE_SCOPE_BLOCK-BOTH_FENCE weak: 573, total: 156170000, rate: 910 per second
  Test iriw-TB_03_12-SCOPE_BLOCK-FENCE_SCOPE_DEVICE-THREAD_1_FENCE weak: 0, total: 156170000, rate: 0 per second
  Test iriw-TB_03_12-SCOPE_BLOCK-FENCE_SCOPE_DEVICE-THREAD_3_FENCE weak: 0, total: 156170000, rate: 0 per second
  Test iriw-TB_03_12-SCOPE_BLOCK-FENCE_SCOPE_DEVICE-BOTH_FENCE weak: 0, total: 156170000, rate: 0 per second
  Test iriw-TB_0_12_3-SCOPE_DEVICE-NO_FENCE-RELAXED weak: 1885, total: 156170000, rate: 3193 per second
  Test iriw-TB_0_12_3-SCOPE_DEVICE-NO_FENCE-ACQUIRE weak: 0, total: 156170000, rate: 0 per second
  Test iriw-TB_0_12_3-SCOPE_DEVICE-FENCE_SCOPE_BLOCK-THREAD_1_FENCE weak: 19, total: 156170000, rate: 32 per second
  Test iriw-TB_0_12_3-SCOPE_DEVICE-FENCE_SCOPE_BLOCK-THREAD_3_FENCE weak: 55, total: 156170000, rate: 90 per second
  Test iriw-TB_0_12_3-SCOPE_DEVICE-FENCE_SCOPE_BLOCK-BOTH_FENCE weak: 658, total: 156170000, rate: 1062 per second
  Test iriw-TB_0_12_3-SCOPE_DEVICE-FENCE_SCOPE_DEVICE-THREAD_1_FENCE weak: 0, total: 156170000, rate: 0 per second
  Test iriw-TB_0_12_3-SCOPE_DEVICE-FENCE_SCOPE_DEVICE-THREAD_3_FENCE weak: 0, total: 156170000, rate: 0 per second
  Test iriw-TB_0_12_3-SCOPE_DEVICE-FENCE_SCOPE_DEVICE-BOTH_FENCE weak: 0, total: 156170000, rate: 0 per second
  Test iriw-TB_0_12_3-SCOPE_BLOCK-NO_FENCE-RELAXED weak: 2555, total: 156170000, rate: 4224 per second
  Test iriw-TB_0_12_3-SCOPE_BLOCK-NO_FENCE-ACQUIRE weak: 244, total: 156170000, rate: 433 per second
  Test iriw-TB_0_12_3-SCOPE_BLOCK-FENCE_SCOPE_BLOCK-THREAD_1_FENCE weak: 469, total: 156170000, rate: 823 per second
  Test iriw-TB_0_12_3-SCOPE_BLOCK-FENCE_SCOPE_BLOCK-THREAD_3_FENCE weak: 464, total: 156170000, rate: 769 per second
  Test iriw-TB_0_12_3-SCOPE_BLOCK-FENCE_SCOPE_BLOCK-BOTH_FENCE weak: 1323, total: 156170000, rate: 2154 per second
  Test iriw-TB_0_12_3-SCOPE_BLOCK-FENCE_SCOPE_DEVICE-THREAD_1_FENCE weak: 0, total: 156170000, rate: 0 per second
  Test iriw-TB_0_12_3-SCOPE_BLOCK-FENCE_SCOPE_DEVICE-THREAD_3_FENCE weak: 0, total: 156170000, rate: 0 per second
  Test iriw-TB_0_12_3-SCOPE_BLOCK-FENCE_SCOPE_DEVICE-BOTH_FENCE weak: 0, total: 156170000, rate: 0 per second
  Test iriw-TB_0_123-SCOPE_DEVICE-NO_FENCE-RELAXED weak: 0, total: 135240000, rate: 0 per second
  Test iriw-TB_0_123-SCOPE_DEVICE-NO_FENCE-ACQUIRE weak: 0, total: 135240000, rate: 0 per second
  Test iriw-TB_0_123-SCOPE_DEVICE-FENCE_SCOPE_BLOCK-THREAD_1_FENCE weak: 0, total: 135240000, rate: 0 per second
  Test iriw-TB_0_123-SCOPE_DEVICE-FENCE_SCOPE_BLOCK-THREAD_3_FENCE weak: 0, total: 135240000, rate: 0 per second
  Test iriw-TB_0_123-SCOPE_DEVICE-FENCE_SCOPE_BLOCK-BOTH_FENCE weak: 0, total: 135240000, rate: 0 per second
  Test iriw-TB_0_123-SCOPE_DEVICE-FENCE_SCOPE_DEVICE-THREAD_1_FENCE weak: 0, total: 135240000, rate: 0 per second
  Test iriw-TB_0_123-SCOPE_DEVICE-FENCE_SCOPE_DEVICE-THREAD_3_FENCE weak: 0, total: 135240000, rate: 0 per second
  Test iriw-TB_0_123-SCOPE_DEVICE-FENCE_SCOPE_DEVICE-BOTH_FENCE weak: 0, total: 135240000, rate: 0 per second
  Test iriw-TB_0_123-SCOPE_BLOCK-NO_FENCE-RELAXED weak: 0, total: 135240000, rate: 0 per second
  Test iriw-TB_0_123-SCOPE_BLOCK-NO_FENCE-ACQUIRE weak: 0, total: 135240000, rate: 0 per second
  Test iriw-TB_0_123-SCOPE_BLOCK-FENCE_SCOPE_BLOCK-THREAD_1_FENCE weak: 0, total: 135240000, rate: 0 per second
  Test iriw-TB_0_123-SCOPE_BLOCK-FENCE_SCOPE_BLOCK-THREAD_3_FENCE weak: 0, total: 135240000, rate: 0 per second
  Test iriw-TB_0_123-SCOPE_BLOCK-FENCE_SCOPE_BLOCK-BOTH_FENCE weak: 0, total: 135240000, rate: 0 per second
  Test iriw-TB_0_123-SCOPE_BLOCK-FENCE_SCOPE_DEVICE-THREAD_1_FENCE weak: 0, total: 135240000, rate: 0 per second
  Test iriw-TB_0_123-SCOPE_BLOCK-FENCE_SCOPE_DEVICE-THREAD_3_FENCE weak: 0, total: 135240000, rate: 0 per second
  Test iriw-TB_0_123-SCOPE_BLOCK-FENCE_SCOPE_DEVICE-BOTH_FENCE weak: 0, total: 135240000, rate: 0 per second
  Test iriw-TB_012_3-SCOPE_DEVICE-NO_FENCE-RELAXED weak: 13607, total: 135240000, rate: 16755 per second
  Test iriw-TB_012_3-SCOPE_DEVICE-NO_FENCE-ACQUIRE weak: 0, total: 135240000, rate: 0 per second
  Test iriw-TB_012_3-SCOPE_DEVICE-FENCE_SCOPE_BLOCK-THREAD_1_FENCE weak: 146, total: 135240000, rate: 237 per second
  Test iriw-TB_012_3-SCOPE_DEVICE-FENCE_SCOPE_BLOCK-THREAD_3_FENCE weak: 872, total: 135240000, rate: 1355 per second
  Test iriw-TB_012_3-SCOPE_DEVICE-FENCE_SCOPE_BLOCK-BOTH_FENCE weak: 5935, total: 135240000, rate: 9452 per second
  Test iriw-TB_012_3-SCOPE_DEVICE-FENCE_SCOPE_DEVICE-THREAD_1_FENCE weak: 0, total: 135240000, rate: 0 per second
