Iteration: 0
  Test iriw-TB_03_12-SCOPE_BLOCK-FENCE_SCOPE_BLOCK-THREAD_3_FENCE weak: 0, total: 80352000, rate: 0 per second
  Test iriw-TB_03_12-SCOPE_BLOCK-FENCE_SCOPE_BLOCK-BOTH_FENCE weak: 0, total: 80352000, rate: 0 per second
  Test iriw-TB_03_12-SCOPE_BLOCK-FENCE_SCOPE_DEVICE-THREAD_1_FENCE weak: 0, total: 80352000, rate: 0 per second
  Test iriw-TB_03_12-SCOPE_BLOCK-FENCE_SCOPE_DEVICE-THREAD_3_FENCE weak: 0, total: 80352000, rate: 0 per second
  Test iriw-TB_03_12-SCOPE_BLOCK-FENCE_SCOPE_DEVICE-BOTH_FENCE weak: 0, total: 80352000, rate: 0 per second
  Test iriw-TB_0_12_3-SCOPE_DEVICE-NO_FENCE-RELAXED weak: 0, total: 80352000, rate: 0 per second
  Test iriw-TB_0_12_3-SCOPE_DEVICE-NO_FENCE-ACQUIRE weak: 0, total: 80352000, rate: 0 per second
  Test iriw-TB_0_12_3-SCOPE_DEVICE-FENCE_SCOPE_BLOCK-THREAD_1_FENCE weak: 0, total: 80352000, rate: 0 per second
  Test iriw-TB_0_12_3-SCOPE_DEVICE-FENCE_SCOPE_BLOCK-THREAD_3_FENCE weak: 0, total: 80352000, rate: 0 per second
  Test iriw-TB_0_12_3-SCOPE_DEVICE-FENCE_SCOPE_BLOCK-BOTH_FENCE weak: 0, total: 80352000, rate: 0 per second
  Test iriw-TB_0_12_3-SCOPE_DEVICE-FENCE_SCOPE_DEVICE-THREAD_1_FENCE weak: 0, total: 80352000, rate: 0 per second
  Test iriw-TB_0_12_3-SCOPE_DEVICE-FENCE_SCOPE_DEVICE-THREAD_3_FENCE weak: 0, total: 80352000, rate: 0 per second
  Test iriw-TB_0_12_3-SCOPE_DEVICE-FENCE_SCOPE_DEVICE-BOTH_FENCE weak: 0, total: 80352000, rate: 0 per second
  Test iriw-TB_0_12_3-SCOPE_BLOCK-NO_FENCE-RELAXED weak: 3600, total: 80352000, rate: 1526 per second
  Test iriw-TB_0_12_3-SCOPE_BLOCK-NO_FENCE-ACQUIRE weak: 193, total: 80352000, rate: 81 per second
  Test iriw-TB_0_12_3-SCOPE_BLOCK-FENCE_SCOPE_BLOCK-THREAD_1_FENCE weak: 160, total: 80352000, rate: 66 per second
  Test iriw-TB_0_12_3-SCOPE_BLOCK-FENCE_SCOPE_BLOCK-THREAD_3_FENCE weak: 158, total: 80352000, rate: 66 per second
  Test iriw-TB_0_12_3-SCOPE_BLOCK-FENCE_SCOPE_BLOCK-BOTH_FENCE weak: 172, total: 80352000, rate: 72 per second
  Test iriw-TB_0_12_3-SCOPE_BLOCK-FENCE_SCOPE_DEVICE-THREAD_1_FENCE weak: 0, total: 80352000, rate: 0 per second
  Test iriw-TB_0_12_3-SCOPE_BLOCK-FENCE_SCOPE_DEVICE-THREAD_3_FENCE weak: 0, total: 80352000, rate: 0 per second
  Test iriw-TB_0_12_3-SCOPE_BLOCK-FENCE_SCOPE_DEVICE-BOTH_FENCE weak: 0, total: 80352000, rate: 0 per second
  Test iriw-TB_0_123-SCOPE_DEVICE-NO_FENCE-RELAXED weak: 0, total: 77760000, rate: 0 per second
  Test iriw-TB_0_123-SCOPE_DEVICE-NO_FENCE-ACQUIRE weak: 0, total: 77760000, rate: 0 per second
  Test iriw-TB_0_123-SCOPE_DEVICE-FENCE_SCOPE_BLOCK-THREAD_1_FENCE weak: 0, total: 77760000, rate: 0 per second
  Test iriw-TB_0_123-SCOPE_DEVICE-FENCE_SCOPE_BLOCK-THREAD_3_FENCE weak: 0, total: 77760000, rate: 0 per second
  Test iriw-TB_0_123-SCOPE_DEVICE-FENCE_SCOPE_BLOCK-BOTH_FENCE weak: 0, total: 77760000, rate: 0 per second
  Test iriw-TB_0_123-SCOPE_DEVICE-FENCE_SCOPE_DEVICE-THREAD_1_FENCE weak: 0, total: 77760000, rate: 0 per second
  Test iriw-TB_0_123-SCOPE_DEVICE-FENCE_SCOPE_DEVICE-THREAD_3_FENCE weak: 0, total: 77760000, rate: 0 per second
  Test iriw-TB_0_123-SCOPE_DEVICE-FENCE_SCOPE_DEVICE-BOTH_FENCE weak: 0, total: 77760000, rate: 0 per second
  Test iriw-TB_0_123-SCOPE_BLOCK-NO_FENCE-RELAXED weak: 0, total: 77760000, rate: 0 per second
  Test iriw-TB_0_123-SCOPE_BLOCK-NO_FENCE-ACQUIRE weak: 0, total: 77760000, rate: 0 per second
  Test iriw-TB_0_123-SCOPE_BLOCK-FENCE_SCOPE_BLOCK-THREAD_1_FENCE weak: 0, total: 77760000, rate: 0 per second
  Test iriw-TB_0_123-SCOPE_BLOCK-FENCE_SCOPE_BLOCK-THREAD_3_FENCE weak: 0, total: 77760000, rate: 0 per second
  Test iriw-TB_0_123-SCOPE_BLOCK-FENCE_SCOPE_BLOCK-BOTH_FENCE weak: 0, total: 77760000, rate: 0 per second
  Test iriw-TB_0_123-SCOPE_BLOCK-FENCE_SCOPE_DEVICE-THREAD_1_FENCE weak: 0, total: 77760000, rate: 0 per second
  Test iriw-TB_0_123-SCOPE_BLOCK-FENCE_SCOPE_DEVICE-THREAD_3_FENCE weak: 0, total: 77760000, rate: 0 per second
  Test iriw-TB_0_123-SCOPE_BLOCK-FENCE_SCOPE_DEVICE-BOTH_FENCE weak: 0, total: 77760000, rate: 0 per second
  Test iriw-TB_012_3-SCOPE_DEVICE-NO_FENCE-RELAXED weak: 4, total: 77760000, rate: 2 per second
  Test iriw-TB_012_3-SCOPE_DEVICE-NO_FENCE-ACQUIRE weak: 0, total: 77760000, rate: 0 per second
  Test iriw-TB_012_3-SCOPE_DEVICE-FENCE_SCOPE_BLOCK-THREAD_1_FENCE weak: 0, total: 77760000, rate: 0 per second
  Test iriw-TB_012_3-SCOPE_DEVICE-FENCE_SCOPE_BLOCK-THREAD_3_FENCE weak: 0, total: 77760000, rate: 0 per second
  Test iriw-TB_012_3-SCOPE_DEVICE-FENCE_SCOPE_BLOCK-BOTH_FENCE weak: 0, total: 77760000, rate: 0 per second
  Test iriw-TB_012_3-SCOPE_DEVICE-FENCE_SCOPE_DEVICE-THREAD_1_FENCE weak: 0, total: 77760000, rate: 0 per second
  Test iriw-TB_012_3-SCOPE_DEVICE-FENCE_SCOPE_DEVICE-THREAD_3_FENCE weak: 0, total: 77760000, rate: 0 per second
  Test iriw-TB_012_3-SCOPE_DEVICE-FENCE_SCOPE_DEVICE-BOTH_FENCE weak: 0, total: 77760000, rate: 0 per second
  Test iriw-TB_012_3-SCOPE_BLOCK-NO_FENCE-RELAXED weak: 7920, total: 77760000, rate: 3379 per second
  Test iriw-TB_012_3-SCOPE_BLOCK-NO_FENCE-ACQUIRE weak: 655, total: 77760000, rate: 278 per second
  Test iriw-TB_012_3-SCOPE_BLOCK-FENCE_SCOPE_BLOCK-THREAD_1_FENCE weak: 523, total: 77760000, rate: 221 per second
