test,suite,a100,h100,gh200,gb10
iriw_TB_0_1_2_3_SCOPE_DEVICE_NO_FENCE_RELAXED,core,seen,seen,seen,seen
iriw_TB_0_1_2_3_SCOPE_DEVICE_NO_FENCE_ACQUIRE,core,not seen,not seen,not seen,not seen
iriw_TB_0_1_2_3_SCOPE_DEVICE_FENCE_SCOPE_BLOCK_THREAD_1_FENCE,core,seen,seen,not seen,not seen
iriw_TB_0_1_2_3_SCOPE_DEVICE_FENCE_SCOPE_BLOCK_THREAD_3_FENCE,core,seen,seen,not seen,not seen
iriw_TB_0_1_2_3_SCOPE_DEVICE_FENCE_SCOPE_BLOCK_BOTH_FENCE,core,seen,seen,not seen,not seen
iriw_TB_0_1_2_3_SCOPE_DEVICE_FENCE_SCOPE_DEVICE_THREAD_1_FENCE,core,not seen,not seen,not seen,not seen
iriw_TB_0_1_2_3_SCOPE_DEVICE_FENCE_SCOPE_DEVICE_THREAD_3_FENCE,core,not seen,not seen,not seen,not seen
iriw_TB_0_1_2_3_SCOPE_DEVICE_FENCE_SCOPE_DEVICE_BOTH_FENCE,core,not seen,not seen,not seen,not seen
iriw_TB_0_1_2_3_SCOPE_BLOCK_NO_FENCE_RELAXED,core,seen,seen,seen,seen
iriw_TB_0_1_2_3_SCOPE_BLOCK_NO_FENCE_ACQUIRE,core,seen,seen,seen,seen
iriw_TB_0_1_2_3_SCOPE_BLOCK_FENCE_SCOPE_BLOCK_THREAD_1_FENCE,core,seen,seen,seen,seen
iriw_TB_0_1_2_3_SCOPE_BLOCK_FENCE_SCOPE_BLOCK_THREAD_3_FENCE,core,seen,seen,seen,seen
iriw_TB_0_1_2_3_SCOPE_BLOCK_FENCE_SCOPE_BLOCK_BOTH_FENCE,core,seen,seen,seen,seen
iriw_TB_0_1_2_3_SCOPE_BLOCK_FENCE_SCOPE_DEVICE_THREAD_1_FENCE,core,seen,seen,not seen,seen
iriw_TB_0_1_2_3_SCOPE_BLOCK_FENCE_SCOPE_DEVICE_THREAD_3_FENCE,core,seen,seen,not seen,seen
iriw_TB_0_1_2_3_SCOPE_BLOCK_FENCE_SCOPE_DEVICE_BOTH_FENCE,core,not seen,not seen,not seen,not seen
iriw_TB_01_2_3_SCOPE_DEVICE_NO_FENCE_RELAXED,core,seen,seen,seen,seen
iriw_TB_01_2_3_SCOPE_DEVICE_NO_FENCE_ACQUIRE,core,not seen,not seen,not seen,not seen
iriw_TB_01_2_3_SCOPE_DEVICE_FENCE_SCOPE_BLOCK_THREAD_1_FENCE,core,seen,seen,not seen,not seen
iriw_TB_01_2_3_SCOPE_DEVICE_FENCE_SCOPE_BLOCK_THREAD_3_FENCE,core,seen,seen,not seen,not seen
iriw_TB_01_2_3_SCOPE_DEVICE_FENCE_SCOPE_BLOCK_BOTH_FENCE,core,seen,seen,not seen,not seen
iriw_TB_01_2_3_SCOPE_DEVICE_FENCE_SCOPE_DEVICE_THREAD_1_FENCE,core,not seen,not seen,not seen,not seen
iriw_TB_01_2_3_SCOPE_DEVICE_FENCE_SCOPE_DEVICE_THREAD_3_FENCE,core,not seen,not seen,not seen,not seen
iriw_TB_01_2_3_SCOPE_DEVICE_FENCE_SCOPE_DEVICE_BOTH_FENCE,core,not seen,not seen,not seen,not seen
